Title,Rating,Genre,Release Date,Reviews Count,Rating Code,Duration
Twisters,77%,Action,In Theaters Fri Jul 19,91 Reviews,PG-13,2h 2m
Despicable Me 4,55%,Kids & Family,Now Playing,148 Reviews,PG,1h 35m
Paris Olympics on NBC at AMC Theatres,93%,Sports,In Theaters Fri Jul 26,Reviews,R,4h 0m
NBC's Paris Olympics Opening Ceremony in IMAX,93%,Sports,In Theaters Fri Jul 26,Reviews,PG-13,1h 41m
Longlegs,87%,Horror,Now Playing,202 Reviews,R,2h 12m
Fly Me to the Moon,66%,Romance,Now Playing,185 Reviews,R,2h 7m
Deadpool & Wolverine,93%,Action,In Theaters Fri Jul 26,Reviews,R,1h 41m
MaXXXine,72%,Horror,Now Playing,239 Reviews,PG-13,2h 1m
Touch,93%,Romance,Now Playing,43 Reviews,PG,1h 40m
A Quiet Place: Day One,87%,Horror,Now Playing,252 Reviews,R,1h 36m
Inside Out 2,91%,Kids & Family,Now Playing,296 Reviews,R,1h 45m
Sing Sing,97%,Drama,Now Playing,69 Reviews,PG-13,2h 13m
Lumina,0%,Sci-Fi,Now Playing,14 Reviews,R,3h 1m
Princess Mononoke,93%,Adventure,"Released Jul 12, 1997",118 Reviews,R,2h 44m
Horizon: An American Saga - Chapter 1,48%,Western,Released Jun 28,134 Reviews,PG-13,1h 37m
Kinds of Kindness,73%,Comedy,Now Playing,240 Reviews,PG-13,1h 37m
Thelma,99%,Comedy,Now Playing,155 Reviews,TV-MA,1h 51m
Season 1 – Those About to Die,93%,Action,Premieres Thu Jul 18,Reviews,PG-13,1h 48m
Season 6 – Cobra Kai,93%,Comedy,Next Ep Thu Jul 18,Reviews,PG,2h 9m
Season 1 – Lady in the Lake,93%,Drama,Premieres Fri Jul 19,Reviews,PG,1h 55m
Season 4 – Snowpiercer,93%,Sci-Fi,Next Ep Sun Jul 21,Reviews,R,1h 35m
Season 1 – Star Wars: The Acolyte,81%,Action,2024,214 Reviews,PG,1h 41m
Season 1 – Sunny,88%,Mystery & Thriller,Next Ep Wed Jul 24,52 Reviews,R,1h 36m
Season 2 – House of the Dragon,89%,Drama,Next Ep Sun Jul 21,168 Reviews,PG,1h 40m
Thelma,99%,Comedy,Now Playing,155 Reviews,PG-13,2h 12m
Supacell,100%,Drama,2024 - Present,15 Reviews,PG-13,1h 55m
Season 3 – Vikings: Valhalla,93%,History,2024,Reviews,R,3h 1m
Season 1 – Sausage Party: Foodtopia,52%,Entertainment,2024,21 Reviews,R,1h 41m
My Spy the Eternal City,93%,Action,2024,Reviews,R,2h 15m
The Imaginary,91%,Fantasy,Now Playing,77 Reviews,PG-13,2h 1m
Season 4 – The Boys,93%,Comedy,Next Ep Thu Jul 18,120 Reviews,R,2h 25m
Young Woman and the Sea,86%,Biography,Now Playing,81 Reviews,PG-13,1h 56m
Season 3 – The Bear,89%,Comedy,2024,88 Reviews,R,2h 6m
