Title,Rating,Genre
The Lion King, 92%,adventure
The Lion King, 92%,adventure
Kill, 90%,action
Furiosa: A Mad Max Saga, 90%,action
Run Lola Run, 93%,action
Seven Samurai, 100%,action
The Fall Guy, 81%,action
Thelma, 99%,action
Kingdom of the Planet of the Apes, 80%,action
Inside Out 2, 91%,adventure
Princess Mononoke, 93%,adventure
Kingdom of the Planet of the Apes, 80%,adventure
Inside Out 2, 91%,animation
The Fall Guy, 81%,comedy
Thelma, 99%,comedy
The Baby-Sitters Club, 100%,adventure
Adventure Time: Distant Lands, 92%,adventure
Fraggle Rock: Back to the Rock, 100%,adventure
The Avengers: Earth's Mightiest Heroes!, 100%,adventure
Wonder Woman, 100%,adventure
Snoopy in Space: The Search for Life, 100%,adventure
Thunderbirds, 100%,adventure
The Adventures of Tintin, 89%,adventure
